gene	log2_TE
YDL005C	-0.1560
YDL006W	0.0641
YDL007W	0.9822
YDL008W	-0.1037
YDL010W	1.8793
YDL012C	1.8742
YDL013W	-0.7532
YDL014W	1.9680
YDL015C	0.7264
YDL017W	0.1646
YDL018C	0.1175
YDL019C	-0.6008
YDL020C	-0.0962
YDL021W	-0.0192
YDL022W	2.0811
YDL025C	-0.4620
YDL027C	0.0748
YDL028C	-0.8171
YDL029W	0.3419
YDL030W	-0.1874
YDL031W	-0.0586
YDL033C	0.0035
YDL035C	-0.6802
YDL036C	-0.5482
YDL040C	0.1299
YDL042C	0.4497
YDL043C	0.7652
YDL044C	-0.2451
YDL045C	-0.0059
YDL045W-A	0.9527
YDL046W	0.8876
YDL047W	0.1824
YDL048C	0.3354
YDL049C	0.2152
YDL051W	1.9228
YDL052C	0.2284
YDL053C	0.7200
YDL054C	-0.0780
YDL055C	1.6631
YDL056W	-0.5253
YDL057W	0.2690
YDL058W	-0.5557
YDL059C	0.0556
YDL060W	0.0398
YDL061C	3.4031
YDL063C	0.2640
YDL064W	1.0161
YDL065C	0.8148
YDL066W	0.6445
YDL067C	1.8266
YDL069C	-0.0664
YDL070W	-0.5253
YDL072C	0.6086
YDL073W	-1.4019
YDL074C	-0.6235
YDL075W	2.0242
YDL076C	0.0412
YDL077C	-0.7574
YDL078C	0.8462
YDL080C	-1.0330
YDL081C	1.9823
YDL082W	1.9037
YDL083C	1.6543
YDL084W	1.0409
YDL085C-A	1.5894
YDL086W	1.4203
YDL087C	-0.1833
YDL088C	-0.4107
YDL089W	-0.5784
YDL090C	-0.3294
YDL091C	-0.3507
YDL092W	0.8845
YDL093W	-0.0976
YDL095W	0.7686
YDL097C	0.7711
YDL098C	-0.3122
YDL099W	0.8702
YDL100C	1.0140
YDL101C	-0.1909
YDL102W	0.0079
YDL103C	0.6615
YDL104C	-0.3092
YDL105W	-0.4321
YDL106C	0.2125
YDL107W	-0.2325
YDL108W	0.0603
YDL110C	0.8869
YDL111C	-0.1183
YDL112W	-0.5107
YDL113C	-0.5659
YDL115C	0.4761
YDL116W	-0.3060
YDL117W	-0.8835
YDL119C	1.3103
YDL120W	0.2887
YDL121C	0.3447
YDL122W	-0.5682
YDL123W	0.1242
YDL124W	0.8859
YDL125C	1.4249
YDL126C	1.1192
YDL127W	-0.2938
YDL128W	0.0140
YDL129W	-0.4946
YDL130W	1.3894
YDL130W-A	1.5918
YDL131W	1.0352
YDL132W	-0.2973
YDL133W	-0.9599
YDL134C	0.1351
YDL135C	1.2095
YDL137W	1.0921
YDL138W	-1.2967
YDL139C	-0.0013
YDL140C	-0.2469
YDL141W	-0.4343
YDL142C	-0.3287
YDL143W	0.3636
YDL144C	-0.0797
YDL145C	-0.0128
YDL146W	-0.9598
YDL147W	0.7564
YDL148C	0.3542
YDL149W	-0.3667
YDL150W	1.1677
YDL153C	1.3308
YDL155W	-0.6178
YDL156W	-0.0576
YDL157C	0.6968
YDL159W	0.4302
YDL160C	1.0584
YDL160C-A	1.1151
YDL161W	0.7054
YDL164C	0.2806
YDL165W	0.5179
YDL166C	1.0678
YDL167C	-0.4844
YDL168W	1.2598
YDL170W	-0.5448
YDL171C	-0.2742
YDL173W	1.5826
YDL174C	-0.5148
YDL175C	0.2315
YDL176W	-0.8665
