ENSG,Degradation_rates
YNL068C,0.00188699
YNL166C,0.00188674
YKL219W,0.00188614
YMR078C,0.00188131
YOL086C,0.00188124
YGL226C-A,0.00187964
YIL088C,0.00187916
YBR141C,0.00187805
YDL044C,0.00187629
YKL053C-A,0.00187608
YLL022C,0.00187447
YPR112C,0.00187444
YDR440W,0.00187365
YMR158W,0.00186995
YGL027C,0.00186932
YLR032W,0.00186911
YEL048C,0.00186832
YJR104C,0.00186799
YER143W,0.00186355
YPR171W,0.00186040
YLR176C,0.00185967
YJL062W,0.00185965
YPL271W,0.00185372
YDR377W,0.00185318
YOR040W,0.00185243
YNL310C,0.00185191
YDR128W,0.00185148
YIL079C,0.00185079
YBL004W,0.00184998
YLR363C,0.00184991
YCL032W,0.00184889
YGL091C,0.00184802
YDR052C,0.00184684
YDR079C-A,0.00184577
YGR084C,0.00184388
YLR454W,0.00184146
YPR154W,0.00183893
YAL036C,0.00183892
YKL170W,0.00183827
YJL062W-A,0.00183804
YMR233W,0.00183776
YLR097C,0.00183659
YEL043W,0.00183616
YCL057C-A,0.00183488
YDL193W,0.00183216
YDR345C,0.00183023
YBL036C,0.00182926
YNL072W,0.00182905
YKL061W,0.00182881
YMR128W,0.00182798
YJR011C,0.00182675
YIL010W,0.00182656
YLR272C,0.00182631
YKL008C,0.00182549
YDR107C,0.00182339
YNL141W,0.00182245
YHR059W,0.00182200
YER092W,0.00182158
YHR165C,0.00181986
YLR387C,0.00181934
YGR086C,0.00181643
YPL029W,0.00181501
YDL156W,0.00181340
YPL173W,0.00181303
YMR270C,0.00181222
YDL240W,0.00181203
YDL042C,0.00181181
YKR078W,0.00180779
YBR185C,0.00180762
YMR114C,0.00180649
R0020C,0.00180640
YKL112W,0.00180620
YPL020C,0.00180482
YMR037C,0.00180363
YDR195W,0.00180270
YNL214W,0.00180194
YOR158W,0.00180125
YCR066W,0.00180083
YBR258C,0.00180046
YER017C,0.00179932
YCL017C,0.00179595
YGR024C,0.00179550
YAL049C,0.00179463
YOL004W,0.00179460
YJL180C,0.00179389
YLR007W,0.00179150
YPL232W,0.00179119
YOR233W,0.00179062
YNR011C,0.00178997
YCL010C,0.00178959
YNL116W,0.00178905
YPL270W,0.00178894
YBR140C,0.00178891
YBL033C,0.00178867
YBR275C,0.00178798
YDR137W,0.00178782
YLR382C,0.00178691
YOL088C,0.00178684
YOR054C,0.00178682
YOR108W,0.00178676
YKL082C,0.00178533
YAL059W,0.00178502
